studyID	BIOENTITY		term	iri		
MTBLS172	metabo_561	Technology	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623	Jiakang Chang	30/11/2018 12:00
MTBLS173	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS174	metabo_561	Technology	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623	Jiakang Chang	30/11/2018 12:00
MTBLS175	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS176	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS177	metabo_561	Technology	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623	Jiakang Chang	30/11/2018 12:00
MTBLS178	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS179	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS180	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS181	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS182	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS183	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS184	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS185	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS186	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS187	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS188	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS189	metabo_561	Technology	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623	Jiakang Chang	30/11/2018 12:00
MTBLS190	metabo_561	Technology	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000623	Jiakang Chang	30/11/2018 12:00
MTBLS191	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS192	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS193	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS194	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS195	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0001478	Jiakang Chang	30/11/2018 12:00
MTBLS196	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS197	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS198	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS199	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS200	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000623	Jiakang Chang	30/11/2018 12:00
MTBLS200	metabo_561	Technology	NMR spectroscopy	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
MTBLS201	metabo_562	Technology	mass spectrometry	http://purl.obolibrary.org/obo/OBI_0000470	Jiakang Chang	30/11/2018 12:00
