MTBLS ID	Study Type
MTBLS559	UPLC-QTOF-MS
MTBLS560	NMR
MTBLS561	UPLC-LTQ-MS/MS
MTBLS562	UPLC-QTOF-MS/MS
MTBLS564	NMR
MTBLS566	UPLC-LTQ-MS
MTBLS567	LC-LTQ-MS/MS
MTBLS570	HPLC-LTQ-MS
MTBLS571	HPLC-QTOF-MS/MS
MTBLS572	HPLC-QTOF-MS/MS
MTBLS573	UPLC-QTOF-MS
MTBLS574	UPLC-QTOF-MS
MTBLS575	UPLC-QTOF-MS/MS
MTBLS576	NMR
MTBLS577	HPLC-LTQ-MS/MS
MTBLS578	HPLC-LTQ-MS/MS
MTBLS579	GCxGC-TOF-MS
MTBLS581	UPLC-QTOF-MS
MTBLS582	UPLC-LTQ-MS/MS
MTBLS591	HPLC-QTOF-MS
MTBLS597	3D MALDI imaging MS
MTBLS598	UPLC-LTQ-MS
MTBLS602	NMR
MTBLS614	UPLC-LTQ-MS
MTBLS616	DI-LTQ-MS
MTBLS618	UPLC-QTOF-MS
MTBLS619	NMR;MAS-NMR
MTBLS620	UPLC-QTOF-MS
MTBLS622	NMR
MTBLS626	NMR
MTBLS629	UPLC-QTOF-MS
MTBLS630	HPLC-LTQ-MS
MTBLS631	UPLC-QTOF-MS
MTBLS633	CE-TOF-MS
MTBLS634	GC-Q-MS
MTBLS640	NMR
MTBLS641	UPLC-QTOF-MS/MS
MTBLS643	NMR
MTBLS648	UPLC-TQ-MS
MTBLS650	UPLC-LTQ-MS;UPLC-LTQ-MS/MS
MTBLS652	UFLC-LTQ-MS/MS
MTBLS654	NMR
MTBLS656	UPLC-TQ-MS
MTBLS658	NMR
MTBLS661	UPLC-TQ-MS/MS
MTBLS664	LC-LTQ-MS
MTBLS665	LC-LTQ-MS
MTBLS667	NMR
MTBLS669	NMR
MTBLS672	GC-TOF-MS
MTBLS673	UPLC-QTOF-MS/MS
MTBLS674	DI-TQ-MS/MS;UPLC-TQ-MS/MS
MTBLS675	NMR
MTBLS687	GC-Q-MS
MTBLS690	GC-TOF-MS;UPLC-QTOF-MS/MS
MTBLS691	LC-LTQ-MS
MTBLS693	UPLC-LTQ-MS
MTBLS694	NMR;UPLC-QTOF-MS
MTBLS696	UPLC-LTQ-MS/MS
MTBLS698	LC-LTQ-MS
MTBLS699	GC-TOF-MS
MTBLS703	LC-LTQ-MS/MS
MTBLS706	LC-LTQ-MS
MTBLS708	LC-LTQ-MS/MS
MTBLS720	NMR
MTBLS723	NMR
MTBLS724	GC-Q-MS
MTBLS737	UPLC-QTOF-MS
MTBLS750	UPLC-LTQ-MS
MTBLS751	HPLC-LTQ-MS
MTBLS752	UPLC-TOF-MS
MTBLS754	UPLC-TOF-MS
MTBLS756	UPLC-TOF-MS
MTBLS757	LC-LTQ-MS/MS
MTBLS761	MAS-NMR
