studyID	organismPart
MTBLS631	peritoneal macrophage
MTBLS633	peritoneal macrophage
MTBLS634	peritoneal macrophage
MTBLS636	embryo
MTBLS636	brain
MTBLS636	mycelium
MTBLS636	cell culture
MTBLS636	RAW-264.7 cell
MTBLS636	cell culture
MTBLS636	skin fibroblast cell line
MTBLS636	cell culture
MTBLS636	leaf
MTBLS636	cell culture
MTBLS636	leaf
MTBLS636	CHO-K1 cell
MTBLS636	cell culture
MTBLS636	Drosophila melanogaster
MTBLS636	cell culture
MTBLS638	Tissue
MTBLS638	Tissue
MTBLS639	Vero cells (kidney epithelial)
MTBLS640	
MTBLS641	mixture
MTBLS642	metabolite
MTBLS643	blood serum
MTBLS644	stationary phase culture
MTBLS645	
MTBLS646	urine
MTBLS647	
MTBLS648	whole organism
MTBLS650	C57BL/6
MTBLS651	HL-60 cell
MTBLS652	lung fibroblast cell line
MTBLS653	feces
MTBLS654	Kimchi soup
MTBLS655	Food
MTBLS655	blood
MTBLS656	blood plasma
MTBLS657	
MTBLS658	neutrophil
MTBLS659	
MTBLS660	
MTBLS661	intracellular
MTBLS661	intracellular
MTBLS662	seed
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS663	cell culture
MTBLS664	solvent
MTBLS664	blood plasma
MTBLS664	blood plasma
MTBLS664	blood plasma
MTBLS664	mixture
MTBLS664	blood plasma
MTBLS665	blood plasma
MTBLS665	blood plasma
MTBLS666	BTO:amniotic fluid
MTBLS667	urine
MTBLS668	blood serum
MTBLS669	culture medium
MTBLS670	blood plasma
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS671	Exudate
MTBLS672	whole organism
MTBLS673	skeletal muscle organ
MTBLS674	rosette leaf
MTBLS675	Urine
MTBLS676	serum
MTBLS678	Cell
MTBLS678	CELL MEDIA
MTBLS679	vegetative shoot system
MTBLS679	blank
MTBLS679	standard
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS679	vegetative shoot system
MTBLS680	blood plasma
MTBLS681	blood serum
MTBLS682	Cells
MTBLS683	urinary metabolite measurement
MTBLS684	Sample 1
MTBLS685	blood plasma
MTBLS685	blood plasma
MTBLS686	urine 
MTBLS687	n/a
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS687	Exudate
MTBLS688	root
MTBLS688	BTO:bud
MTBLS688	BTO:leaf
MTBLS688	root
MTBLS688	BTO:seed
MTBLS688	root
MTBLS688	BTO:flower
MTBLS688	BTO:bark
MTBLS688	root
MTBLS688	BTO:flower
MTBLS688	root
MTBLS688	BTO:leaf
MTBLS688	root
MTBLS688	BTO:fruit
MTBLS688	BTO:leaf
MTBLS688	BTO:leaf
MTBLS688	BTO:leaf
MTBLS688	BTO:leaf
MTBLS688	BTO:bud
MTBLS688	root
MTBLS688	BTO:flower
MTBLS688	BTO:leaf
MTBLS688	BTO:leaf
MTBLS688	BTO:flower
MTBLS688	BTO:leaf
MTBLS688	BTO:leaf
MTBLS688	BTO:flower
MTBLS688	BTO:seed
MTBLS688	BTO:leaf
MTBLS688	root
MTBLS688	root
MTBLS688	BTO:fruit
MTBLS688	root
MTBLS688	root
MTBLS688	root
MTBLS688	BTO:fruit
MTBLS688	BTO:leaf
MTBLS688	root
MTBLS688	BTO:seed
MTBLS688	BTO:seed
MTBLS688	root
MTBLS688	root
MTBLS688	root
MTBLS688	root
MTBLS688	BTO:leaf
MTBLS688	BTO:leaf
MTBLS688	BTO:leaf
MTBLS688	BTO:leaf
MTBLS688	BTO:flower
MTBLS688	BTO:leaf
MTBLS688	root
MTBLS688	root
MTBLS688	BTO:seed
MTBLS688	BTO:leaf
MTBLS688	BTO:flower
MTBLS688	BTO:leaf
MTBLS688	BTO:fruit
MTBLS688	root
MTBLS688	BTO:fruit
MTBLS688	BTO:leaf
MTBLS688	root
MTBLS688	BTO:leaf
MTBLS688	BTO:leaf
MTBLS688	BTO:fruit
MTBLS688	root
MTBLS688	BTO:flower
MTBLS688	BTO:fruit
MTBLS688	root
MTBLS688	root
